module_name;testno,test_name;passed;actual_value;expected_value
Register;1;Q;1;0x0025;0x0025
Register;2;Q;1;0x0024;0x0024
Register;3;Q;1;0x0025;0x0025
Register;4;Q;1;0x0026;0x0026
Register;5;Q;1;0x0025;0x0025
Register;6;Q;1;0x0012;0x0012
Register;7;Q;1;0x0025;0x0025
Register;8;Q;1;0x0000;0x0000
RegisterFile;1;OutA;1;0x1234;0x1234
RegisterFile;1;OutB;1;0x5678;0x5678
RegisterFile;2;OutA;1;0x1234;0x1234
RegisterFile;2;OutB;1;0x3548;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutA;1;0x1234;0x1234
AddressRegisterFile;2;OutB;1;0x3548;0x3548
InstructionRegister;1;IROut;1;0x2315;0x2315
InstructionRegister;2;IROut;1;0x1567;0x1567
ArithmeticLogicUnit;1;ALUOut;1;0x5555;0x5555
ArithmeticLogicUnit;1;Z;1;0x0001;0x0001
ArithmeticLogicUnit;1;C;1;0x0001;0x0001
ArithmeticLogicUnit;1;N;1;0x0001;0x0001
ArithmeticLogicUnit;1;O;1;0x0001;0x0001
ArithmeticLogicUnit;2;ALUOut;1;0x5555;0x5555
ArithmeticLogicUnit;2;Z;1;0x0000;0x0000
ArithmeticLogicUnit;2;C;1;0x0000;0x0000
ArithmeticLogicUnit;2;N;1;0x0000;0x0000
ArithmeticLogicUnit;2;O;1;0x0000;0x0000
ArithmeticLogicUnit;3;ALUOut;1;0x0001;0x0001
ArithmeticLogicUnit;3;Z;1;0x0001;0x0001
ArithmeticLogicUnit;3;C;1;0x0001;0x0001
ArithmeticLogicUnit;3;N;1;0x0000;0x0000
ArithmeticLogicUnit;3;O;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;OutA;1;0x7777;0x7777
ArithmeticLogicUnitSystem;1;OutB;1;0x8887;0x8887
ArithmeticLogicUnitSystem;1;ALUOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;Z;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;C;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;N;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;O;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;MuxAOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;MuxBOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;MuxCOut;1;0x00fe;0x00fe
ArithmeticLogicUnitSystem;1;R2;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;S3;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;OutA;1;0x7777;0x7777
ArithmeticLogicUnitSystem;2;OutB;1;0x8887;0x8887
ArithmeticLogicUnitSystem;2;ALUOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;Z;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;C;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;N;1;0x0001;0x0001
ArithmeticLogicUnitSystem;2;O;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;MuxAOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;MuxBOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;MuxCOut;1;0x00fe;0x00fe
ArithmeticLogicUnitSystem;2;R2;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;S3;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;PC;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;3;OutC;1;0x1254;0x1254
ArithmeticLogicUnitSystem;3;Address;1;0x0023;0x0023
ArithmeticLogicUnitSystem;3;Memout;1;0x0015;0x0015
ArithmeticLogicUnitSystem;3;IROut;1;0x0000;0x0000
ArithmeticLogicUnitSystem;4;OutC;1;0x1254;0x1254
ArithmeticLogicUnitSystem;4;Address;1;0x0023;0x0023
ArithmeticLogicUnitSystem;4;Memout;1;0x0015;0x0015
ArithmeticLogicUnitSystem;4;IROut;1;0x0015;0x0015
